periodo,fecha,Año,DimPD,Dolarizacion,IPD,IPD_proy,EMBI,DXY,IPC,BVL,Adopcion,DPS,MCS,DVS,CRS,DSS,PIS,IGS,DRIFT_T,DRIFT_R,DRIFT,Régimen
Ene.2018,,,0.4911250355314342,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,87.15484778448098,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,38.94192248024302,,,Sin datos
Ene.2018,,,0.4932928991830116,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,89.39056119665409,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,39.83620784511226,,,Sin datos
Ene.2018,,,0.49417463892464714,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,90.2998976140926,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,40.199942412087665,,,Sin datos
Ene.2018,,,0.482905718784376,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,78.67828299825644,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,35.5512965657532,,,Sin datos
Ene.2018,,,0.48860401541296267,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,84.55492482017279,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,37.90195329451974,,,Sin datos
Ene.2018,,,0.49186153794209875,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,87.9144012353737,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,39.24574386060011,,,Sin datos
Ene.2018,,,0.47762357284316687,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,73.23081654102597,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,33.37230998286101,,,Sin datos
Ene.2018,,,0.4794024189766808,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,75.06533697131023,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,34.106118154974716,,,Sin datos
Ene.2018,,,0.48650742889049886,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,82.39271936751756,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,37.03707111345765,,,Sin datos
Ene.2018,,,0.48504546545967436,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,80.88499942949348,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,36.43398313824802,,,Sin datos
Ene.2018,,,0.4922098496408914,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,88.27361438793561,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,39.38942912162487,,,Sin datos
Ene.2018,,,0.4995389593162708,31.7527198723584,0.127417107488591,False,69767.93531141,,116.608695652174,2327.157,58.044,95.83211041632315,1.8726523760602305,16.654612080132658,1.2149991162369638,,6.063744064659299,71.60632642325959,42.41282753297989,,,Sin datos
